1. agree	賛成する
2. oppose	(～に)反対する
3. advise	(～に)忠告する
4. tip	助言(ヒント、チップ)
5. discuss	(～について)話し合う
6. blame	(～に)責任があるとする
7. argue that SV	(～と)主張する
8. claim that SV	(SVと)主張する
9. complain	文句を言う
10. offer	(～を)申し出る
11. suggest	(～を)示唆する
12. recommend	(～を)推薦する
13. grateful	感謝している
14. apologize	謝る
15. excuse	言い訳(～を許す)
16. celebrate	(～を)祝う
17. admire	(～に)感心する
18. impress	(～に)感銘を与える
19. award	賞
20. describe	([描写的]～を)説明する
21. explain	([理由]～を)説明する
22. communicate	意志の疎通をはかる
23. express	（意見、気持ちを）表現する
24. promise	約束
25. information	情報
26. technology	（科学）技術
27. research	（学術）研究
28. material	材料
29. artificial	人工的な
30. electric	電気の
31. invent	(～を)発明する
32. discover	(～を)発見する
33. develop	発達する
34. skill	技術
35. ability	能力
36. talent	才能
37. effort	努力
38. practice	練習
39. game	試合
40. achieve	(～を)達成する
41. manage to do	何とかして(〜)する
42. improve	(～を)改善する
43. produce	(～を)生産する
44. create	(～を)創造する
45. establish	(～を)確立する
46. save	（時間、手間を）省く
47. medicine	薬
48. patient	患者
49. condition	状態(容態)
50. medical	医療の
51. stress	ストレス
52. suffer	（病気などで）苦しむ
53. exercise	運動
54. breathe	呼吸する
55. thirsty	のどが渇いた
56. physical	身体的な
57. fever	（体温の）熱
58. strength	体力
59. tear	涙(～を引き裂く)
60. taste	(～の)味がする
61. rule	規則
62. role	役割
63. habit	(個人の癖)習慣
64. custom	（文化としての）習慣
65. tradition	伝統
66. society	社会
67. law	法律(法則)
68. ancestor	祖先
69. population	人口
70. native	母国の(その土地の)
71. abroad	海外へ
72. local	その土地の(地元の)
73. survey	調査
74. evidence	証拠
75. value	価値
76. treasure	財宝
77. fashion	流行
78. public	大衆
79. vote	投票
80. government	政府
81. nation	国家
82. capital	首都
83. state	州
84. political	政治的な
85. price	価格
86. cost	（費用を）要する
87. sum	金額(合計)
88. budget	予算
89. fee	（会費、遊園地などの）料金
90. fare	運賃
91. bill	勘定(請求書)
92. trade	貿易
93. wealth	富
94. economy	経済
95. company	会社
96. task	仕事
97. earn	（金を）稼ぐ
98. hurt	（身体の部位が）痛む
99. injure	(～を)痛める
100. damage	(～に)損害を与える
101. destroy	(～を完全に）破壊する
102. ruin	(～を)台無しにする
103. danger	危険
104. neighbor	近所の人
105. audience	聴衆
106. crowd	群衆
107. author	著者
108. staff	職員
109. clerk	店員
110. customer	客
111. passenger	乗客
112. elderly	年配くらいの
113. female	女性の
114. head	向かう
115. follow	(～の)後について行く
116. wander	歩き回る
117. travel	旅行する
118. pass	(～を)通り過ぎる
119. likely to do	(～)しそうだ
120. natural	当然の
121. certain	確かな
122. probably	おそらく
123. face	(～に)直面する
124. avoid	(～を)避ける
125. solve	(～を)解決する
126. trouble	問題(ごたごた)
127. issue	問題
128. cheer	([on]〜に)声援を送る
129. encourage	促す(奨励する)
130. support	(～を)支持する
131. prevent	(～を)妨げる
132. deny	(を)否定する(を拒む)
133. enable A to do	(Aに～することを)可能にする
134. succeed	成功する
135. miss	(～を)逃す
136. fail	失敗する
137. mistake	間違い
138. check	(～を)調べる
139. hide	(～を)隠す
140. draw	（線で絵などを)描く
141. join	(～に)加わる
142. throw	(～を)投げる
143. operate	(～を)操作する
144. repair	(～を)修理する
