Let's try 【anyway】.	【とにかく】やってみよう。
We are ready to 【ship】 your order.	注文を【出荷する】準備ができました。
【attend】 a workshop.	研修会に【参加する】
The event was 【successful】.	そのイベントは【成功だった】。
a new 【employee】 at Tex Corporation	テックス社の新入【社員】
Our business is 【expand】ing.	当社の事業は【拡大しています】。
one free 【copy】 of the book	無料の本一【冊】
The hotel is 【close】 to the airport.	そのホテルは空港に【近い】。
a 【weekly】 magazine	【週刊】誌
I 【prefer】 to work part-time.	私はパートタイムで働く【方が好きです】。
Please 【sign】 in at the front desk.	受付で【署名して】ください。
Let's take a 【break】.	【休憩】しましょう。
an important 【document】	重要な【書類】
the third 【quarter】	第3【四半期】
a 【department】 head	【部門】長
【accept】 an offer	オファーを【受け入れる】
【allow】 employees to use company vehicles	従業員に社用車の使用を【許す】
a 【connect】ing flight	【乗り継ぎ】便
Tex 【recently】 bought a printer.	テックスは【最近】プリンターを買った。
I'll be here for 【another】 twe hours.	【もうあと】2時間ここにいます。
It is 【likely】 that Tex will succeed.	テックスは成功【しそうだ】。
at a 【rate】 of 20% a year	年20％の【割合】で
【local】 businesses	【地元の】会社
Tex 【retire】d after 20 years of service.	20年の勤務後、テックスは【退職した】。
relationships in the 【workplace】	【職場】での人間関係
an employee's 【performance】	従業員の【成績】
a singer 【native】 to the town	その町【出身の】歌手
design a 【modern】 building	【近代的な】建物を設計する
Tex is fully 【satisfied】 with the result.	テックスは結果に十分【満足している】。
the 【author】 of a poplar book	人気本の【著者】
an 【experienced】 engineer	【経験豊かな】エンジニア
open a new 【branch】	新しい【支店】をオープンする
【develop】 a plan	計画を【作り出す】
【nearly】 two years	2年【近く】
【create】 unique designs	独自のデザインを【創造する】
receive a 【bill】	【請求書】を受け取る
by express 【mail】	速達【郵便】で
The 【total】 comes to 100 dollars.	【合計】100ドルになります。
Let me 【introduce】 Mr.Kato.	加藤さんを【紹介します】。
We 【charge】 $50 for the service.	そのサービスには50ドルを【請求します】。
high 【profit】	高い【利益】
in the 【field】 of art	芸術の【分野】で
【affect】 the price	値段に【影響する】
sales 【figure】s	売上【数字】
of all the 【work】s in the museum	美術館の全【作品】の中で
in 【original】 condition	【元の】状態で
There are no hotels in this 【neighborhood】.	この【近所】にはホテルがない。
work 【environment】	職場【環境】
【consumer】 behavior	【消費者】行動
an art 【exhibition】	美術【展】
meet in the 【cafeteria】 for lunch	昼食のために【社員食堂】に集まる
【consider】 working in Japan	日本での勤務を【考える】
signs of 【improvement】	【改善】の兆し
【possibility】 of success	成功の【可能性】
be widely 【regarded】 as	～と広く【みなされる】
a 【lack】 of information	情報【不足】
Tickets are 【available】 online.	チケットはオンラインで【入手可能】です。
Tex 【prevented】 us from entering the room	テックスは私たちが部屋に入るのを【妨げた】。
The team was 【praised】 by the CEO.	そのチームはCEOに【ほめられた】。
an 【excellent】 service	【素晴らしい】サービス
【announce】 the winners	入賞者を【発表する】
a 【round-trip】 ticket to Hawaii	ハワイへの【往復の】チケット
a job 【opening】	仕事の【空き】
The campaign 【resulted】 in success.	そのキャンペーンは成功という【結果になった】。
【report】 to work before a shift begins	シフトが始まる前に出勤を【報告する】
【recover】 losses	損失を【取り戻す】
results of a 【study】	【研究調査】の結果
market 【research】	市場【調査】
meet 【demand】	【需要】を満たす
【hire】 an assistant	アシスタントを【雇う】
while 【touring】 the factory	工場を【見学している】間
bus 【fare】	バスの【運賃】
【necessary】 forms	【必要な】用紙
The deadline is 【approaching】.	期限が【近づいている】。
Tex was 【aware】 of the problem.	テックスは問題に【気付いていた】。
an 【increasingly】 important role	【ますます】重要な役割
a 【former】 job	【前の】仕事
the 【cause】 of the problem	問題の【原因】
We are 【pleased】 with the final result.	最終結果に【満足している】。
Tex is 【responsible】 for training employees.	テックスは従業員の研修を【担当している】。
an 【appointment】 with a doctor	医者の【予約】
make travel 【arrangements】	旅行の【手配】をする
【full-time】 employees	【常勤の】社員
【absolutely】 free of charge	【完全に】無料で
send a 【resume】	【履歴書】を送る
Please 【note】 that	～に【注意して】ください
visit a 【client】	【顧客】を訪問する
【post】 changes on the bulletin board	掲示板に変更を【提示する】
shop 【directly】 from a Web site	ホームページから【直接】買い物をする
【blame】 Tex for the failure	失敗をテックスの【せいにする】
Tex is 【expected】 to arrive tomorrow.	テックスは明日到着する【予定だ】。
The program is useally 【broadcast】 on Saturdays.	その番組は通常土曜日に【放送される】。
returns 【policy】	返品【規程】
Tex 【offered】 to work the night shift.	テックスは夜のシフトで働くことを【申し出た】。
【forward】 an e-mail	メールを【転送する】
we 【firmly】 believe that	我々は～だと【固く】信じている
The catalog is 【divided】 into three sections.	カタログは3つのセクションに【分かれて】います。
the table of 【contents】	【内容】一覧（目次）
a 【guided】 tour	【ガイド付きの】ツアー
a 【degree】 in journalism	ジャーナリズムの【学位】
conveniently 【located】 near a subway station	地下鉄の駅の近くの便利な【場所にある】
receive a warm 【welcome】	温かい【歓迎】を受ける
We are happy to 【inform】 you that	～を【知らせる】ことができて嬉しい
Sales have 【doubled】 this year.	売上が今年【2倍になった】
The town is 【crowded】 with tourists.	町は旅行客で【混雑している】
be 【familiar】 with the industry	業界について【よく知っている】
【earn】 the respect of people	人々の尊敬を【得る】
【operate】 a machine safely	機械を安全に【操作する】
I prefer an 【aisle】 seat.	【通路】側の席がいいです。
as we 【mentioned】 before	以前【申し上げた】通り
a way of 【attracting】 customers	お客様を【引き付ける】方法
a 【highly】 successful buisinessperson	【非常に】成功しているビジネスパーソン
a 【serious】 problem	【重大な】問題
main 【duties】 of a teacher	教師の主な【任務】
a commercial 【distract】	商業【地区】
a 【private】 tour	【少人数の】ツアー
a 【reasonable】 price	【手頃な】値段
【correct】 information	【正しい】情報
basic 【functions】	基本【機能】
Few companies can 【match】 our quality service.	当社の質の高いサービスに【匹敵する】会社はほとんどない
【fairly】 common	【かなり】普通の
【fuel】 costs	【燃料】のコスト
【book】 a room	部屋を【予約する】
the 【host】 of a televition show	テレビショーの【司会者】
hire 【additional】 staff	【追加の】スタッフを雇う
this year's 【budget】	今年の【予算】
a travel 【agency】	旅行【代理店】
a repair 【crew】	修理【係】
【labor】 cost	【人件】費
【overseas】 markets	【海外】市場
【prove】 to be difficult	難しいと【わかる】
【provide】 Rex with information	テックスに情報を【提供する】
the 【checkout】 counter	【レジ】カウンター
safety 【standards】	安全【基準】
【practical】 experoence	【実務の】実験
【ability】 to speak three languages	3か国語を話す【能力】
Thank you for your 【cooperation】.	ご【協力】ありがとうございます。
【Surprisingly】,Tex passed the exam.	【驚いたことに】テックスは試験に合格した。
【handling】 costs	【手数】料
Employees are 【encouraged】 to attend the event.	従業員がイベントに参加することを【推奨します】。
the 【production】 area	【生産】エリア
【deliver】 a presentation	プレゼンを【行う】
the 【current】 employees	【現在】の従業員
the second round of 【interviews】	二次【面接】
【following】 the speech,we had dinner.	スピーチに【続いて】、夕食会があった。
office 【supply】	オフィス【用品】
oder some light 【bulbs】	いくつか【電球】を注文する
The book is 【worth】 reading.	その本は読む【価値がある】
a customer 【survey】	顧客【アンケート調査】
stay at a 【nearby】 hotel	【すぐ近くの】ホテルに泊まる
Tex lives in the 【suburbs】 of Tokyo.	テックスは東京の【郊外】に住んでいる。
【preserve】 the environment	環境を【保護する】
a 【separate】 dining room	【個別の】ダイニングルーム
before signing a 【contract】	【契約】に署名する前に
the person who has the most 【authority】	最も【権限】を持った人
the 【wage】 level	【賃金】水準
make 【advances】 in technology	技術で【進歩】を遂げる
【throughout】 the summer	夏の【間中ずっと】
【effective】 advertising campaigns	【効果的な】広告キャンペーン
on a 【typical】 Saturday night	【普段の】土曜日の夜
a 【rapidly】 growing company	【急速に】成長している会社
professional 【background】	職業上の【経歴】（職歴）
【slightly】 increased from 24 to 27 percent	24%から27％に【わずかに】増えた
travel 【expenses】	出張【経費】
【found】 a company	会社を【設立する】
be a 【eager】 to know	知り【たがる】
products on 【display】	【展示】されている製品
【seek】 interns for the summer	夏季研修生を【募集する】
paid 【leave】	有給【休暇】
I 【suspect】 that Tex is lying.	テックスは嘘をついているだとうと【思う】。
have no 【previous】 experience	【以前の】経験がない
【achieve】 a sales target	販売目標を【達成する】
a recently formed 【organization】	最近結成された【団体】
【particularly】 interested in history	歴史に【特に】興味がある
an 【essential】 part of the job	仕事の【最も重要な】部分
museum 【exhibits】	博物館の【展示物】
free 【shuttle】 service	無料の【送迎】サービス
fill out an 【application】	【応募書類】に記入する
a 【valuable】 addition to the team	チームの【貴重な】新戦力
Sales rose 【sharply】	売上げが【急激に】上がった
health 【insurance】	健康【保険】
【identify】 problems	問題を【特定する】
【explore】 the possibility	可能性を【探る】
【suitable】 for outdoor use	アウトドア用に【適した】
under the 【regulation】	【規制】の下で
【propose】 a budget	予算を【提案する】
【reschedule】 an appointment	アポを【予定変更する】
prepare for the 【upcoming】 event	【今度の】イベントの準備をする
share a 【wealth】 of knowledge	【豊富】な知識をシェアする
I have 【attached】 my resume.	履歴書を【添付しました】
【immediately】 solve the problem	問題を【ただちに】解決する
I haven't seen Tex 【lately】	【最近】テックスを見ていない
【confirm】 a booking	予約を【確認する】
The room can 【fit】 50 people.	その部屋には50人が【入る】。
【negotiate】 with a client	顧客と【交渉する】
an 【ideal】 location	【理想的な】立地
【distribute】 a document	書類を【配布する】
truly 【rare】	本当に【まれな】
【formally】 announce	【正式に】発表する
Workers are 【required】 to wear uniforms.	作業員は制服の着用を【求められます】。
【comfort】 and convenience	【快適さ】と便利さ
All flights have been 【delayed】.	すべての便が【遅れています】。
a job 【description】	職務内容の【説明】
The company is 【struggling】 to survive.	その会社は生き残るために【奮闘している】。
Tex was 【appointed】 chairperson of the committee.	テックスは委員会の議長に【指名された】。
work 【mainly】 in the steel industry	【主に】鉄鋼業界で働く
in alphabetical 【order】	アルファベット【順】
Please 【refer】 to the map.	地図を【参照して】ください。
a 【series】 of lectures	【一連】の講義
both managers and 【tenants】	管理人も【入居者】も
【analyze】 customer feedback	お客様の意見を【分析する】
I think it's a 【bargain】.	それは【お買い得品】だと思います。
ten locations,【including】 Tokyo and Osaka	東京と大阪を【含む】10店舗
carefully 【review】 the manual	マニュアルに丁寧に【目を通す】
【equally】 important	【同じくらい】重要な
relationships with 【suppliers】	【納入業者】との関係
employee 【benefits】	従業員の【福利厚生】
I'm writing in 【response】 to your letter.	お手紙へのご【返事】です。
pay on a monthly 【basis】	月【単位】で支払う
【temporary】 workers	【臨時雇いの】従業員
traffic 【updates】	交通の【最新情報】
【ease】 of use	使い【やすさ】
a workshop on business 【finance】	企業【財務】についての研修会
an exciting and 【memorable】 trip	エキサイティングで【記憶に残る】旅行
We 【regret】 to inform you that	～をお知らせする事を【残念に思います】
advance 【notice】	事前【告知】
