let	（let O do で）O に～させる
decide	を決心する〈to do ～すること〉
leave	（leave O C で）O を C のままにしておく，を置き忘れる，（を）去る〈for ～に向けて〉
long	切望する〈for ～を〉
practice	（を）練習する〈doing ～すること〉，を実行する（英 practise）
move	引っ越す〈to ～へ〉，を動かす，を感動させる
pay	を支払う〈for ～に対して〉
change	を変える，変わる〈into ～に〉
spell	をつづる
grow	成長する，（数量などが）増大する，を栽培する
spend	（お金・時間）を費やす〈on ～に，doing ～することに〉
order	（を）注文する，（を）命じる
share	（を）共有する〈with ～と〉，を分け合う
check	（を）確かめる，（を）調べる，（を）検査する
forget	を忘れる〈to do ～すること，doing ～したこと〉（⇔ remember）
guide	に案内する
hold	を開催する，を持つ
report	（を）報道する，（を）報告する
return	帰る，戻る〈to ～に〉，を返す（≒ bring back）
seem	のようだ，のように見える［思える］（≒ appear）
train	を訓練する，トレーニングする
wait	待つ〈for ～を〉
invite	を招待する〈for（食事など）に，to（家など）に〉
sound	のように思われる，に聞こえる，音を出す
taste	の味がする，を味わう
worry	心配する〈about ～のことを〉，を心配させる
join	に加わる，参加する〈in ～に〉
lose	を失う（⇔ gain），（で）負ける（⇔ win）
remember	を覚えている〈doing ～したこと〉（⇔ forget），（remember to do で）忘れずに～する
climb	（を）登る
exchange	を交換する，を両替する〈for ～と〉
offer	（offer A B で）ＡにＢを申し出る，ＡにＢを提供する
perform	を上演する，（を）演じる，を実行する
pick	を摘む，を選ぶ
repair	を修理する
interview	にインタビューする，と面接する
travel	（を）旅行する
expect	を予期する，を期待する，〈to do ～すること〉
miss	がいなくて寂しく思う，をし損なう，に乗り遅れる（⇔ catch）
prepare	を準備する（≒ get ready）〈for ～のために〉
win	を勝ち取る，（に）勝つ（⇔ lose）
carry	を運ぶ，を持ち歩く
build	を建てる，を築き上げる
care	気にかける〈about ～について〉
cost	（費用）がかかる
create	を創造する
design	（を）デザイン［設計］する
increase	増加する，を増やす（⇔ decrease）
introduce	を紹介する，を導入する〈to ～に〉
prefer	の方を好む〈to ～より〉
relax	くつろぐ，（筋肉などが）緩む，をくつろがせる
run	を経営［運営］する，（水・川などが）流れる，走る
save	（を）節約する，（を）蓄える，を救う
add	を加える〈to ～に〉
agree	賛成する〈with（人など）に〉，同意する〈to（提案など）に〉（⇔ disagree）
appear	出現する（⇔ disappear），のように見える（≒ seem）
borrow	を借りる〈from ～から〉（⇔ lend）
die	死ぬ〈of, from ～で〉
improve	を改良［改善］する，良くなる
mean	を意味する
mind	（を）気にする［嫌がる］〈doing ～すること〉，（に）気をつける
plant	を植える，（種）をまく
receive	を受け取る
rent	を借りる〈from ～から〉，を貸す〈to ～に〉
reply	返事をする，答える〈to ～に〉
allow	（allow O to do で）O が～するのを許す
bear	を我慢する
cause	を引き起こす
continue	を続ける〈to do, doing ～すること〉，続く
dress	服を着る，に服を着せる
follow	についていく［くる］，に続く，に従う
graduate	卒業する〈from ～を〉
guess	を推測する
marry	と結婚する
protect	を保護する〈from, against ～から〉
search	捜す〈for ～を〉
set	を調整する，を置く
smell	のにおいがする
turn	進路を変える〈to ～へ〉，変わる〈to, into ～に〉，を曲がる
wish	...であればいいのに（と思う），を願う
arrive	到着する〈at, in ～に〉（⇔ depart）
cancel	を中止する（≒ call off），を取り消す
copy	（の）写しを取る，（を）まねる
cover	を覆う〈with ～で〉
enter	に入る（≒ come［go］ into），に参加［出場］する
happen	（偶然）起こる（≒ occur），（happen to do で）偶然～する
recommend	を推薦する，を勧める
steal	を盗む，盗みをする〈from ～から〉
throw	（を）投げる
wonder	...かなと思う
avoid	を避ける〈doing ～すること〉
bake	（パンなど）を焼く
contain	を含む，を収容できる
damage	に損傷［損害］を与える
fail	に不合格になる（⇔ pass），失敗する〈in ～に〉（⇔ succeed）
feed	に食べ物を与える
fit	にぴったり合う，に適している
fix	を修理する，を固定する
hurt	を傷つける，痛む
lead	を導く〈to ～に〉，（必然的に）発展する〈to ～に〉
raise	を調達する，を育てる，を上げる
solve	を解決する
wake	（wake up で）目を覚ます，（wake O up で）O を起こす
waste	を浪費する〈doing ～して，on ～に〉
advise	（に）忠告する
arrange	を取り決める，準備をする〈for ～の〉
belong	所属する，属する〈to ～に〉
celebrate	を祝う
cheer	（に）歓声を上げる，を励ます
count	（を）数える
delay	を遅らせる，を延期する〈doing ～すること〉
include	を含む（⇔ exclude）
lend	（lend A B で）ＡにＢを貸す（⇔ borrow）
pack	を詰め込む〈into, in ～に〉，（を）荷造りする
produce	（を）生産する（⇔ consume），を引き起こす（≒ bring about）
reach	に到着する（≒ get to, arrive at［in］）
recover	回復する〈from ～から〉，を取り戻す（≒ get back）
remain	のままである，残る
reserve	を予約する，を取っておく〈for ～のために〉
serve	（飲食物）を出す，（に）給仕する，（に）仕える
spread	広がる，を広げる
stand	を我慢する（≒ put up with），立っている
trade	（を）交換する〈with ～と〉，貿易をする
transport	を輸送する
upset	（受身形で）動揺する〈about，by ～に［で］〉
idea	考え，思いつき，アイデア
area	地域，区域，領域
apartment	アパート
lighthouse	灯台
photograph	写真（＝ photo）（≒ picture）
reason	理由，理性
actor	俳優
owner	所有者
fossil	化石
husband	夫（⇔ wife）
meal	食事
excuse	言い訳，弁解
advantage	有利な点（⇔ disadvantage），利益
government	（集合的に）政府
information	情報
operation	手術，操作
result	結果，（通例 ～s）成果
chance	機会（≒ opportunity）
clothes	衣服
couple	2つ3つ，カップル，一対
experience	経験〈in，of，with ～の〉
fact	事実，実際にあったこと
future	（通例 the ～）将来，未来（⇔ past 過去，present 現在）
Internet	（the ～）インターネット
ma'am	奥様，お嬢様，先生（⇔ sir）
puppet	操り人形
accident	事故，偶然
century	1世紀，100年（間）
front	（the ～）（最）前部（⇔ back），正面，前線
guest	客，宿泊客，招待客
professor	教授（＝ Prof.）
sale	販売，特売，セール
traffic	交通（量）
vehicle	車，乗り物
character	登場人物，特徴，性格
gift	才能〈for ～に対する〉，贈り物〈for ～への〉
mistake	間違い，誤り
passenger	（列車・飛行機・船などの）乗客
shelter	避難所，住まい
sunlight	日光
trouble	トラブル，悩み（の種），もめごと
address	住所，演説
audience	（集合的に）観衆，聴衆
co-worker	同僚，協力者
dinosaur	恐竜
expert	専門家
honey	あなた，おまえ（恋人や夫・妻への呼びかけ），はちみつ
method	方法
million	百万，（～s）数百万もの人［物］
pigeon	ハト（≒ dove）
rock	岩
service	サービス，（しばしば ～s）奉仕
uniform	制服，ユニフォーム
war	戦争（⇔ peace）
advice	忠告，助言
article	記事
discovery	発見
event	出来事，行事
flight	定期航空便，フライト，飛行
nature	（しばしば N-）自然，性質
navy	（しばしば the N-）海軍
price	価格，（～s）物価
prize	賞，賞品
purpose	目的
staff	（集合的に）スタッフ，職員
visitor	訪問者〈to ～への〉
army	（通例 the ～）陸軍，（集合的に）軍隊
bill	請求書（⇔ receipt），紙幣
center	中心，センター
choice	（a ～）選択権，選択（≒ selection）
coach	コーチ
community	コミュニティー，地域社会
condition	状態，（～s）状況，条件
department	（集合的に）（企業などの）部，学部，（店の）売場（＝ dept.）
desert	砂漠，荒れ野
dessert	デザート
detail	（～s）詳細，細部
director	（映画の）監督，管理者
distance	距離〈from ～からの，to ～までの〉
employee	従業員
grade	成績，学年，等級
health	健康（なこと），健康状態
match	試合
neighbor	隣人，近所の人
novel	小説
performance	演技，実行
research	調査，研究
reservation	（部屋・切符などの）予約（≒ booking）
restroom	（公共建物内の）トイレ，化粧室
route	道筋，ルート
secret	秘密，（通例 the ～）秘訣，（通例 ～s）神秘
statement	陳述，声明
symbol	象徴〈of ～の〉，シンボル
vegetable	（通例 ～s）野菜
victory	勝利〈over，against ～に対する〉
view	眺め，見方，（しばしば ～s）意見
