1. create	[動] ～を創り出す ～を引き起こす
2. increase	[動] 増加する ～を増やす
3. improve	[動] ～を向上させる よくなる
4. mean	[動] ～を意味する ～するつもりである
5. own	[動] ～を所有している （事実、罪などを）認める
6. include	[動] ～を含む
7. consider	[動] ～をみなす ～について考える
8. allow	[動] ～を許す ～を与える、～を考慮に入れる
9. suggest	[動] ～を提案する ～を暗示する
10. produce	[動] ～を生産する ～を取り出す
11. decide	[動] ～を決める ～に決着をつける
12. offer	[動] ～を提供する、申し出る
13. require	[動] ～を要求する ～を必要とする
14. share	[動] ～を共有する ～を分担する
15. store	[動] ～を保存する ～を蓄える
16. tend	[動] 傾向がある ～を世話する
17. concern	[動] （受動態で）心配している ～に関係する、関連する
18. describe	[動] ～について述べる、～を説明する
19. involve	[動] ～を関与させる ～を伴う
20. reduce	[動] ～を減らす ～を変える
21. design	[動] ～を設計する ～を計画する
22. force	[動] ～に強いる ～を強要する
23. limit	[動] ～を制限、規制する
24. bear	[動] ～に耐える ～を負う、～を産む、～を抱く
25. affect	[動] ～に影響を及ぼす ～を感動させる
26. deal	[動] ～を処理する ～を商う、～を分配する
27. avoid	[動] ～を避ける
28. relate	[動] ～を関連付ける ～に関連する
29. realize	[動] ～に気付く ～を実現させる
30. encourage	[動] ～を奨励する ～を励ます
31. compare	[動] ～を比較する ～を～にたとえる
32. measure	[動] ～を測る ～を評価する
33. exist	[動] 存在する 生存する
34. mark	[動] ～にしるしをつける ～を示す、～に汚れをつける
35. challenge	[動] ～に異議を唱える ～に挑む
36. depend	[動] 頼る ～次第である
37. object	[動] 反対する ～と言って反対する
38. demand	[動] ～を要求する
39. found	[動] ～を設立する （理論などを）築く
40. complete	[動] ～を完成させる、仕上げる
41. idea	[名] 考え、思いつき 理解、見解、概念
42. accord	[名] 一致 合意、協定
43. company	[名] 会社 仲間、一座
44. interest	[名] 興味 利子、利害
45. research	[名] 研究、調査
46. cause	[名] 原因 理由、大義
47. reason	[名] 理由 理性、分別
48. effect	[名] 影響、効果 結果
49. influence	[名] 影響
50. situation	[名] 状況 立場
51. environment	[名] 環境
52. skill	[名] 技能 熟練
53. matter	[名] 事柄 問題、事態、困難、物質
54. view	[名] 見解 ものの見方、眺め
55. value	[名] 価値 価格、評価、価値観
56. species	[名] 生物の種（しゅ） 種類
57. thought	[名] 考え 思考
58. knowledge	[名] 知識 知っていること、認識
59. memory	[名] 記憶 思い出
60. practice	[名] 実践、実行 慣習、練習
61. benefit	[名] 利益、恩恵 給付金
62. theory	[名] 学説 理論、原理、推測
63. issue	[名] 問題 発行、発表
64. experiment	[名] 実験
65. article	[名] 記事 条項、品物
66. focus	[名] 焦点 関心の的
67. subject	[名] 話題 科目、主題、被験者
68. project	[名] 計画 事業、研究計画
69. quality	[名] 質 特質
70. role	[名] 役割 役
71. term	[名] 専門用語 条件、間柄、学期
72. statement	[名] 声明 主張、明細書
73. material	[名] 材料、素材 資料、生地
74. evidence	[名] 証拠
75. source	[名] 源、根源 でどころ、情報源
76. community	[名] 社会、～界 地域社会、地域住民
77. technology	[名] 科学技術 応用技術
78. culture	[名] 文化 教養、耕作、養殖、培養
79. appropriate	[形] 適切な
80. likely	[形] ありそうな
81. possible	[形] 可能な 可能性のある
82. individual	[形] 個々の 個人の
83. public	[形] 公の 公衆の、公開の
84. common	[形] 共通の 普通の、一般の
85. certain	[形] 確信して 確かな、ある、一定の
86. similar	[形] 似ている、類似した 同様の
87. recent	[形] 最近の
88. major	[形] 主要な、大きいほうの 長調の
89. patient	[形] 忍耐強い 勤勉な
90. particular	[形] 特定の 特別の、やかましい
91. physical	[形] 身体の 物質的な、物理学の
92. various	[形] さまざまな いくつかの
93. available	[形] 手に入る 利用できる、手が空いている
94. native	[形] 出生地の 原産の、生得の
95. political	[形] 政治の
96. due	[形] 予定された 期日で、しかるべき
97. blank	[形] 空白の 無表情の、がらんとした
98. ancient	[形] 古代の 昔からの
99. correct	[形] 正しい 適切な
100. despite	[前] ～にもかかわらず
101. notice	[動] ～にきづく
102. refer	[動] 言及する、関連する 参照する
103. approach	[動] ～に近づく ～に取り組む
104. wonder	[動] かなと思う 驚く
105. imagine	[動] 想像する 推測する
106. recognize	[動] ～を識別できる ～を認める
107. solve	[動] ～を解く、解明する 解決する
108. occur	[動] 起こる 心に浮かぶ、現れる
109. argue	[動] ～と主張する 議論する
110. claim	[動] ～と主張する ～を要求する
111. express	[動] ～を表す、述べる
112. draw	[動] ～を引き出す ～を引く、～を描く、近づく
113. waste	[動] ～を浪費する、無駄にする
114. advance	[動] ～を進歩させる ～を進める、進歩する、進む
115. spread	[動] ～を広める 広がる
116. prepare	[動] ～を準備する ～を調理する、準備をする
117. gain	[動] ～を獲得する 増す
118. achieve	[動] ～を達成する ～を成し遂げる
119. establish	[動] ～を確立する ～を設立する
120. supply	[動] ～を供給する
121. suppose	[動] ～と思う ～と仮定する
