1. Technological change will ( ) new ways of living.	create	[動] ～を創り出す ～を引き起こす
2. Japan's real GDP ( ) by 1.9 percent last year.	increased	[動] 増加する ～を増やす
3. Light exercise ( ) thinking ability.	improves	[動] ～を向上させる よくなる
4. Her silence ( ) that she does not agree with you.	means	[動] ～を意味する ～するつもりである
5. A millionaire from China ( ) this hotel.	owns	[動] ～を所有している （事実、罪などを）認める
6. Jane's work ( ) typing letters and making appointments.	includes	[動] ～を含む
7. She ( ) herself to be lucky.	considers	[動] ～をみなす ～について考える
8. The company ( ) its employees to take long winter vacations.	allows	[動] ～を許す ～を与える、～を考慮に入れる
9. The teacher ( ) that he study physics in university.	suggested	[動] ～を提案する ～を暗示する
10. The manufacturer ( ) home electrical appliances.	produces	[動] ～を生産する ～を取り出す
11. She has ( ) to memorize ten English words a day.	decided	[動] ～を決める ～に決着をつける
12. Uncle George ( ) me an opportunity to work for his company.	offered	[動] ～を提供する、申し出る
13. The Road Traffic Law ( ) you to wear a seat belt.	requires	[動] ～を要求する ～を必要とする
14. I ( ) my office space with other people.	share	[動] ～を共有する ～を分担する
15. You should ( ) backups of data on the Internet regularly.	store	[動] ～を保存する ～を蓄える
16. My town ( ) to get windy.	tends	[動] 傾向がある ～を世話する
17. We are ( ) about the negative effect of the new tax law.	concerned	[動] （受動態で）心配している ～に関係する、関連する
18. She ( ) her physical condition to her doctor.	described	[動] ～について述べる、～を説明する
19. In Japan, more and more men are ( ) in raising children.	involved	[動] ～を関与させる ～を伴う
20. Good eating habits can ( ) the risk of heart disease.	reduce	[動] ～を減らす ～を変える
21. Airbags are ( ) to protect average-sized adult males.	designed	[動] ～を設計する ～を計画する
22. The scandal ( ) the CEO to resign from his position.	forced	[動] ～に強いる ～を強要する
23. "Tweets" were originally ( ) to 140 characters.	limited	[動] ～を制限、規制する
24. The man could not ( ) his stomachache.	bear	[動] ～に耐える ～を負う、～を産む、～を抱く
25. Your language can ( ) your way of thinking.	affect	[動] ～に影響を及ぼす ～を感動させる
26. Our team ( ) with complaints from our customers.	deals	[動] ～を処理する ～を商う、～を分配する
27. She somehow ( ) getting involved in the quarrel.	avoided	[動] ～を避ける
28. She believes that people's blood types are ( ) to their personalities.	related	[動] ～を関連付ける ～に関連する
29. She ( ) that she was put in a difficult position.	realized	[動] ～に気付く ～を実現させる
30. Many companies ( ) their employees not to work overtime.	encourage	[動] ～を奨励する ～を励ます
31. She ( ) the Japanese economy with the U.S. economy.	compared	[動] ～を比較する ～を～にたとえる
32. She ( ) her temperature every morning.	measures	[動] ～を測る ～を評価する
33. Some linguists think that about 8,000 languages ( ) in the world.	exist	[動] 存在する 生存する
34. During the test, the student ( ) his answers with a pencil.	marked	[動] ～にしるしをつける ～を示す、～に汚れをつける
35. He ( ) the common belief that laughter is a unique human feature.	challenged	[動] ～に異議を唱える ～に挑む
36. Children ( ) on their parents for many things.	depend	[動] 頼る ～次第である
37. Her parents ( ) to her marriage.	objected	[動] 反対する ～と言って反対する
38. I ( ) that she let me go with her.	demanded	[動] ～を要求する
39. A thinker in the Meiji Era ( ) this university.	founded	[動] ～を設立する （理論などを）築く
40. She ( ) all the forms for her college application.	completed	[動] ～を完成させる、仕上げる
41. He came up with a good ( ) for the school party.	idea	[名] 考え、思いつき 理解、見解、概念
42. The research results were in ( ) with the expectations of the team.	accord	[名] 一致 合意、協定
43. He started to work for an insurance ( ) three years ago.	company	[名] 会社 仲間、一座
44. She seems to have a great ( ) in classical music.	interest	[名] 興味 利子、利害
45. The team did ( ) on life on Mars.	research	[名] 研究、調査
46. Air pollution is a major ( ) of health problems.	cause	[名] 原因 理由、大義
47. He explained the ( ) for his absence from school today.	reason	[名] 理由 理性、分別
48. Abnormal weather can have a negative ( ) on people's lives.	effect	[名] 影響、効果 結果
49. Exercising has an important ( ) on one's health.	influence	[名] 影響
50. The economic ( ) of the country is gently improving.	situation	[名] 状況 立場
51. Recycling is an effective way to help the ( ).	environment	[名] 環境
52. She needs to improve her cooking ( ) to become a chef.	skills	[名] 技能 熟練
53. She is good at handling difficult ( ).	matters	[名] 事柄 問題、事態、困難、物質
54. She often expresses her ( ) on welfare for the elderly.	view	[名] 見解 ものの見方、眺め
55. Many societies place a high ( ) on education these days.	value	[名] 価値 価格、評価、価値観
56. Biologists think there is a need to protect endangered ( ).	species	[名] 生物の種（しゅ） 種類
57. Bob gave some ( ) to applying for the big contest.	thought	[名] 考え 思考
58. Most young adults these days have a good ( ) of computers.	knowledge	[名] 知識 知っていること、認識
59. She has a good ( ) for people's faces.	memory	[名] 記憶 思い出
60. The manager decided to put his new ideas into ( ).	practice	[名] 実践、実行 慣習、練習
61. Both nations will enjoy the ( ) of a new free-trade agreement.	benefits	[名] 利益、恩恵 給付金
62. There are many different ( ) about how cancers occur.	theories	[名] 学説 理論、原理、推測
63. The city council will discuss the ( ) of the new airport.	issue	[名] 問題 発行、発表
64. The scientist carried out various ( ) on plants.	experiments	[名] 実験
65. Researchers often cite ( ) from this scientific journal.	articles	[名] 記事 条項、品物
66. Reducing poverty is the main ( ) of the book.	focus	[名] 焦点 関心の的
67. The author's novels often deal with the ( ) of space travel.	subject	[名] 話題 科目、主題、被験者
68. The mayor set up a ( ) to clean up the city.	project	[名] 計画 事業、研究計画
69. The company is trying to improve the ( ) of its products.	quality	[名] 質 特質
70. Laughter plays an important ( ) in strengthening personal relationships.	role	[名] 役割 役
71. "Hypertension" is a medical ( ) for abnormally high blood pressure.	term	[名] 専門用語 条件、間柄、学期
72. The politician made a short ( ) to the press.	statement	[名] 声明 主張、明細書
73. The company makes its products with only natural ( ).	materials	[名] 材料、素材 資料、生地
74. There is clear ( ) that the man did not commit the crime.	evidence	[名] 証拠
75. Solar power is considered to be a clean ( ) of energy.	source	[名] 源、根源 でどころ、情報源
76. The international ( ) is working towards world peace.	community	[名] 社会、～界 地域社会、地域住民
77. Digital ( ) has significantly changed people's ways of living.	technology	[名] 科学技術 応用技術
78. Chopsticks are an important part of Asian ( ).	culture	[名] 文化 教養、耕作、養殖、培養
79. It is important to wear ( ) clothes for a job interview.	appropriate	[形] 適切な
80. Some people believe that AI robots are ( ) to replace most workers.	likely	[形] ありそうな
81. Nowadays, it is ( ) to buy almost anything on the Internet.	possible	[形] 可能な 可能性のある
82. A group is not just a collection of ( ) talents.	individual	[形] 個々の 個人の
83. Our main concern is to improve ( ) facilities in the city.	public	[形] 公の 公衆の、公開の
84. The team worked towards the ( ) goal of winning the match.	common	[形] 共通の 普通の、一般の
85. I am ( ) that she will get a promotion at work.	certain	[形] 確信して 確かな、ある、一定の
86. His car is ( ) to mine in design and performance.	similar	[形] 似ている、類似した 同様の
87. Research shows that reading habits have declined in ( ) years.	recent	[形] 最近の
88. Economic growth is a ( ) concern for the Japanese government.	major	[形] 主要な、大きいほうの 長調の
89. You should be more ( ) with your children.	patient	[形] 忍耐強い 勤勉な
90. She cannot eat a ( ) type of nut.	particular	[形] 特定の 特別の、やかましい
91. It is a good habit to get ( ) exercise every day.	physical	[形] 身体の 物質的な、物理学の
92. There are ( ) ways to achieve your goals.	various	[形] さまざまな いくつかの
93. Tickets for the concert are ( ) on the Internet.	available	[形] 手に入る 利用できる、手が空いている
94. English is a ( ) language for around 400 million people.	native	[形] 出生地の 原産の、生得の
95. The ( ) situation of Britain changed after World War I.	political	[形] 政治の
96. The train is ( ) to arrive at Nagoya Station in ten minutes.	due	[形] 予定された 期日で、しかるべき
97. Write your name in the ( ) space at the bottom of the paper.	blank	[形] 空白の 無表情の、がらんとした
98. The Olympic Games originated in ( ) times in Greece.	ancient	[形] 古代の 昔からの
99. You should always look for ( ) information before starting a report.	correct	[形] 正しい 適切な
100. They went hiking ( ) the fact that a storm was coming.	despite	[前] ～にもかかわらず
101. The doctor quickly ( ) a change in the patient's condition.	noticed	[動] ～にきづく
102. The article ( ) to Darwin's theory of evolution.	refers	[動] 言及する、関連する 参照する
103. The car slowed down as it ( ) the curve.	approached	[動] ～に近づく ～に取り組む
104. The teacher ( ) why John didn't attend today's class.	wondered	[動] かなと思う 驚く
105. ( ) that you won the lottery.	Imagine	[動] 想像する 推測する
106. She immediately ( ) the building in the photo.	recognized	[動] ～を識別できる ～を認める
107. She can ( ) any math problem quickly.	solve	[動] ～を解く、解明する 解決する
108. Forest fires often ( ) in California.	occur	[動] 起こる 心に浮かぶ、現れる
109. He ( ) that the country needs new energy policies.	argues	[動] ～と主張する 議論する
110. Some scientists ( ) that coffee lowers the risk of heart disease.	claim	[動] ～と主張する ～を要求する
111. The politician ( ) his opinions on the leak of state secrets.	expressed	[動] ～を表す、述べる
112. He ( ) a conclusion from a series of experiments.	drew	[動] ～を引き出す ～を引く、～を描く、近づく
113. You should not ( ) too much time on chatting online.	waste	[動] ～を浪費する、無駄にする
114. All citizens should ( ) their knowledge of global ecology.	advance	[動] ～を進歩させる ～を進める、進歩する、進む
115. He ( ) rumors about Mike on social media.	spread	[動] ～を広める 広がる
116. He ( ) a speech for his friend's wedding reception.	prepared	[動] ～を準備する ～を調理する、準備をする
117. She ( ) a lot of experience in the music business.	gained	[動] ～を獲得する 増す
118. You can ( ) your goals by making a good plan.	achieve	[動] ～を達成する ～を成し遂げる
119. At a party, you can ( ) friendly relationships with others.	establish	[動] ～を確立する ～を設立する
120. This power plant ( ) electricity to the whole city.	supplies	[動] ～を供給する
121. I ( ) that his writing shows his true love of nature.	suppose	[動] ～と思う ～と仮定する
122. The two researchers decided to work together to ( ) an experiment.	perform	[動] 行う 演じる、演奏する
123. Some people ( ) e-books to printed books.	prefer	[動] ～のほうを好む
124. It takes time to ( ) whether something is true or not.	determine	[動] ～を決定する ～を正確に知る
125. Young people should ( ) their elders with respect.	treat	[動] ～を扱う ～を治療する
126. Scientists have ( ) that dinosaurs once existed.	proven	[動] ～を証明する 判明する、わかる
127. The computer company ( ) a new theory to its product designs.	applied	[動] ～を適用する 申し込む、適用される
128. The salesperson ( ) the features of his company's products.	mentioned	[動] ～を言及する ～と言う
129. Social Networking Services allow users to ( ) with other users.	communicate	[動] 情報交換する ～を伝達する
130. Junk food usually ( ) a lot of salt, sugar and fat.	contains	[動] ～を含む ～を収容する、感情などを抑える
131. If you need any help, please ( ) me anytime.	contact	[動] ～と連絡を取る 接触する
132. Today, many people ( ) English language ability as necessary.	regard	[動] ～を見なす ～を見る、～を評価する
