かまける	あることだけにかかわって他のことをおざなりにすること
克己心	自分の欲望を抑える心
期する	前もって必ず実現するように決意すること
思いがけない幸せ	僥倖(ぎょうこう)
おびただしい	程度がはなはだしい
詭弁	一見ただしそうに見えるが誤っている論理
恭順	命令に謹んで従う態度をとること
愁眉	心配顔
専横	わかまま勝手に振る舞う事
神妙	人知を越えた不思議な事
身に余る	自分の身分を越えて良すぎる事
謬見	間違った考えや見解
退廃	乱れて不健全になること
協議	寄り合って相談すること
度量	こころの広さ
画策	考えて実行すること
諸般	様々な
俯瞰(ふかん)	高い所から見下ろし眺めること
確執	互いに自分の意見を譲らないこと
糾弾	罪を訴える事
水を向ける	それとなく誘うこと
大綱	話の根本的なところ
法外	程度がすぎること
公算	偶然に支配された事柄の起きる確実性の度合い
寵児	世間にもてはやされる人気者や流行児
推敲する	文書を何度も練り直す
ずさん	物事がいいかげんで、誤りが多いこと
ずぼら	行動・性格がだらしのないこと
看破	真実を見破る事。
殊勝	けなげなこと。心がけがしっかりしてること。
瓦解	組織的な物事の一部分が崩れて、全体が壊れる事
ことほぐ	言葉で祝福する
逓減	次第に減る事
予見	予知する事
予測	事の成り行きや結果を前もっておしはかること。
進取	進んで新しい事をすること。
焦眉	事態が非常に切迫していること
訝る	怪しく思う。疑う。
あげつらう	ささいな非などをことさらにとりたてて言う事
至言	ある事柄を適切に言い表した言葉
迎合	相手に合わせて自分の意見や態度を変えること
闊達	度量が大きく、小さい物事にこだわらない様
徒食	働かずに遊び暮らす事
けう	まれであること
僭越	自分の身分や資格を越えて出過ぎたことをすること
斯界	この社会。この道。
ぞんざい	ものごとをいい加減にすること
粉飾	立派に見せかける事
卑近	身近でたやすいこと
言質	後で証拠となるような約束の言葉
老練	経験を積んで熟達すること
趨勢	物事が移り進んで行く様子
漸進	順を追ってだんだん進む事
披瀝	心の中を包み隠さず打ち明ける事
いみじくも	非常に巧みに。適切に
伍する	肩を並べる
佳境	興味深い場面
義憤	道義にはずれたことや不正に対し、憤慨すること
会得	物事の意味、本質を理解し悟ること
気鋭	意気込みが鋭い事
金言	処世上の手本とすべき内容をもつすぐれた言葉
角を立てる	事を荒立てる。いちいち突っかかる・
督励	指示し、励ます事
垂涎	あるものを手に入れたいと強く思う事
食傷	度々で嫌になる事
私淑する	手本とする
出色	他人よりも目立って優れていること
泰然	落ち着いて物事に動じない様子
委細	物事の詳しい事情
席巻	片端から攻め取る事
営々	こつこつ励む様
あおる	競争心を○○
たきつける	若者を○○
ほぞを噛む	どうにもならないことを残念がる
吹聴	言いふらす
斟酌	相手の気持ちを汲取る
耽読する	夢中になって読む事
隠匿	隠しておいてはいけない物や人を隠しておくこと。
隠蔽	見られたり知られたりしては困る物や事を意図的に隠しておくこと。
障子	建具＝
神妙	殊勝＝
うつつ	現実＝
享楽	禁欲⇔
分析	総合⇔
漠然	判然⇔
衰退	隆盛（りゅうせい）⇔
進歩的	保守的⇔
派遣	召還⇔
落胆	発奮⇔
侮る	敬う、畏れる⇔
応戦	挑戦⇔
確認	推定⇔
保守	進歩⇔
虚構	事実⇔
圧倒的	比較的⇔
造詣	その分野についての深い知識や優れた技量
忖度（そんたく)	相手の心中を推し量ること
陶冶（とうや）	性質や才能を鍛え育てること
早晩	いずれ
蹉跌（さてつ）	しくじること 失敗
杞憂	必要のないことをあれこれ心配すること
老成	経験を積んで熟達すること
気概	困難にくじけない強い意志
咄嗟（とっさ）	・ごくわずかな時間
諫言（かんげん）	・目上の人に対して忠告するさま
喧伝	盛んに言って世間に広く知らせること
たゆたう	・物がゆらゆら揺れる
跳梁（ちょうりょう）	自由に跳ね回る
粗略（そりゃく）	物事の扱いがぞんざい
直言	自分の信じたことを遠慮せずに言うこと
与する（くみする）	同意して仲間に入ること
通暁（つうぎょう）	物事の隅々まで知っていること
克明	細かいところまで手を入れていて手落ちがないこと
反駁	相手の意見、批判に対して論じ返すこと
軋轢	中が悪く相争うこと
強記	物覚えが良いこと ・
必至	そうなることが避けられないこと
示唆	それとなく教えること。ほのめかすこと
躊躇	決断がつかずためらうこと ・
折半	二等分
鳥瞰	全体を大きく眺めまわすこと
めこぼし	大目に見ること
粗悪	質の悪い環境
徒労	無駄な骨折りに終わる
なおざりにする	そのことだけに関わって他をおろそかにする
懸念する	気にかかって不安に思う
斬新	きわだって新しいこと
保身	地位、名声、安全などを図ること
精巧	細工が細かくよくできていること
卓越	他よりはるかに優れていること
活路	窮地から逃れる方法
機知	とっさに働く鋭い知恵
頓挫	物事の進行が急にくじけること
腐心	心を痛め悩ますこと
先駆	他に先だって物事をする
酷評	手厳しい批評
果断	ためらわずに思い切ってするさま
克明な	細かく丹念な記録
排斥	好ましくないとして拒み退けること
察知	相手の意向などを探ること
