anyway	とにかく
following	〜に続いて；次の、以下の
refer	参照する、言及する、紹介する
available	入手できる、利用できる、購入できる、手が空いている
department	部門、売り場
conference	会議
according to	〜によると、〜に従って
likely	おそらく；〜しそうだ
offer	申し出る、提供する；申し出、オファー
equipment	機器、装備
provide	提供する
local	地元の；地元の人
purchase	購入する；購入品
opening	空き、開店
construction	建設
tour	見学する、旅行する；見学、旅行
research	研究する、調査する；研究、調査
attend	出席する、参加する
delivery	配達(物)
recently	最近
indicate	示す
employee	社員、従業員
additional	追加の
survey	アンケート調査；アンケート調査を行う
review	検討する、論評する；検討、論評
production	生産、作品
located	位置して
detail	詳細；詳しく述べる
announce	発表する
repair	修理；修理する
increase	増える、増やす；増加
include	含む
currently	現在
advertising	広告(業)、宣伝(活動)
charge	請求する；料金、責任
expect	予期する、予定する
firm	会社
client	顧客、クライアント
financial	お金の、財務の、金融の
annual	年間の、年に一度の、毎年恒例の
payment	支払い
budget	予算；予算に計上する
application	応募、申請、応募書類
contract	契約(書)
management	経営(陣)、管理
performance	業績、仕事ぶり、性能、公演
pleased	喜んで、満足して
confirm	確認する
award	賞；授与する
clothing	衣類
display	展示；展示する
candidate	候補者
state	述べる
exhibit	展示する；展示会、展示物
session	時間、集まり
note	注意する、述べる；メモ
process	処理する；プロセス、過程、処理
instruction	説明、指示、説明書
membership	会員、会員資格、会員数
agency	代理店、機関
based	拠点のある、基づく
facility	施設
advance	先行した、事前の；進歩、前進
committee	委員会
successful	成功した、うまくいく
excellent	素晴らしい
industry	産業、業界
fee	料金
accept	受け入れる
upcoming	今度の
latest	最新の
submit	提出する
transportation	輸送手段
résumé	履歴書
executive	重役；重役(用)の、高級な
introduce	紹介する、導入する
previous	前の、以前の
proposal	提案、提案書
supply	必需品；供給する
enclose	同封する、囲む
policy	規定、方針
register	登録する；レジ
arrange	手配する、並べる
bill	請求書；請求書を送る
hire	雇う
approve	承認する、賛成する
conduct	実行する、実施する
opportunity	機会、チャンス
deadline	締め切り、期限
corporate	企業の、法人の
warranty	保証、保証書
necessary	必要な
reserve	予約する、確保する；蓄え
resident	住民、住人
create	創造する、作り出す
inform	知らせる、影響を与える
allow	許す、可能にする
mention	述べる、言及する；言及
appreciate	感謝する
replacement	交換、交換品、後任
update	最新情報；更新する
branch	支店
paid	有給の、支払い済みの
unfortunately	残念なことに、残念ながら
original	元の、最初の；オリジナル、原本
rent	家賃；賃貸借する
memo	社内文書
luggage	手荷物、旅行かばん
editor	編集者
exhibition	展示会、展示物、展示
leading	首位の、一流の
organization	団体、会社、組織(化)
release	発表する、公表する；発売
limited	限られた
procedure	手続き、手順
experienced	経験豊富な
personnel	社員、人事部
author	著者、作者；(本を)書く
benefit	特典、福利厚生；〜のためになる
focus	焦点、集中；(意識などを)〜に集中させる、重点を置く
participate	参加する
cause	原因、大義；引き起こす
degree	学位、程度、(温度や角度の単位の)度
directly	直接
host	司会者；主催する
expert	専門家；専門的な
impress	感心させる、好印象を与える
mainly	主に
suggestion	提案
supplier	納入業者、供給業者
document	書類；(文書や映像などで)記録する
remind	再確認する、念押しする
require	求める、要求する
representative	担当者、代表者
packaging	梱包、パッケージ
description	説明、記述、描写
property	不動産、資産
extension	内線、延長
inquire	尋ねる、問い合わせる
merchandise	商品
highly	非常に
result	結果；生じる、終わる
assistance	支援、援助
encourage	奨励する、促す
individual	個人；個人の、個別の
laboratory	研究所、実験室
consider	考える、検討する
headquarters	本社
ship	出荷する；船
commercial	商業(用)の、商業的な；CM
device	機器、装置
intended	意図された、向けられた
brochure	パンフレット
mail	郵便物、郵便配達；郵送する
prefer	〜を(...よりも)好む
response	返答、返事
region	地域
donation	寄付
quarter	四半期
agreement	契約(書)、同意(書)、合意
journal	専門誌
distribute	配布する、流通させる
potential	見込みがある、潜在的な；可能性
reschedule	スケジュールを変更する
renew	更新する
warehouse	倉庫
refund	返金；返金する
advise	勧める、忠告する、助言する
immediately	すぐに、即座に
council	議会
broadcast	放送する；放送
responsible	担当している、責任がある
avoid	避ける
effective	効果的な
invitation	招待(状)
reduce	減らす、(値段を)下げる
vehicle	乗り物、車両
efficient	効率的な
manufacturer	メーカー、製造業者
comfortable	快適な、楽な、自信がある
correct	正しい、正確な；修正する
downtown	中心街の；中心街で；中心街
method	方法
entire	全体の
range	範囲
setting	環境
apologize	お詫びする
frequent	頻繁な
promotion	昇進、促進販売
regarding	〜に関する
temporary	一時的な、臨時の
traditional	伝統的な、従来の
admission	入場、入場料、入場許可
fit	合う、入る
reference	照会、参照、照会先
status	状況、地位
fuel	燃料
nearly	ほとんど、もう少しで
cafeteria	社員食堂
determine	決定する、判断する、決心する
expense	費用、経費
overseas	海外の；海外で
satisfied	満足した
appear	現れる、掲載される、〜のように見える
develop	(計画などを)作り出す、開発する、(スキルを)高める
improve	改善する、改良する
reasonable	(値段が)手頃な、妥当な
unable	(〜することが)できない
delay	遅らせる；遅れ
legal	法律に関する、合法の
regulation	規則、規制
expand	拡大する、進出する
launch	開始、発売；開発する、発売する
recommendation	推薦
direct	向ける、管理する；直接の
profit	利益；利益を与える
seek	探し求める
entry	エントリー(作品)、入場
claim	申し立て、主張、所有権；主張する、所有権を主張する
crew	グループ、班、乗員
demand	需要；要求する
figure	数字、人物
raise	上げる、(お金を)集める、高める；昇給
attach	添付する
attract	惹きつける、呼び込む
insurance	保険
departure	出発、逸脱
mayor	町長、市長
balance	残金、残額、バランス
estimate	見積もり；見積もる
district	地区
former	前の、かつての；前者
modern	現代的な、近代的な
tip	アドバイス、コツ
establish	設立する、創立する
option	選択肢、オプション
retire	退職する
search	捜索、検索；探す、検索する
specific	具体的な、特定の
agricultural	農業の
historical	歴史(上)の
helpful	役立つ、助けになる
complaint	苦情、クレーム
related	関連した
simply	単純に、単に
unique	他にはない、独自の、特有の
concerning	〜に関する
reputation	評判
ability	能力
arrival	到着
familiar	よく知っている、おなじみの
ideal	理想的な
maintain	維持する、主張する
landscaping	造園
organize	(イベントなどを)計画する、取りまとめる、組織化する
significant	かなりの、大幅な、重要な
occasion	特別な行事、(何かが起こる)時、好機
standard	基準；標準の
background	経歴、背景
guided	ガイド付きの
advanced	進んだ、上級の、高度な
alternative	代わりの；代案
confident	確信している、自信がある
decade	10年間、10年
initial	初めの、当初の
separate	分かれた、別々の；分ける
celebration	お祝い、祝典
concern	心配、懸念、関心事
environment	環境
operate	操作する、運営する
various	様々な
brief	短い
full-time	常勤の
overall	全体の；全体として
achieve	達成する
basis	ベース、基準、根拠
complex	複合施設、集合住宅；複雑な
delighted	とても喜んでいる
obtain	得る、取得する
honor	称える、(契約などを)守る；名誉
properly	ちゃんと、適切に
suitable	ふさわしい、適切な
electronic	電子の、電子的な
finalize	取りまとめる、仕上げる、最終決定する
generous	寛大な、気前のよい
preparation	準備、用意
duty	任務、職務、関税
earn	得る、もたらす
willing	〜することを嫌がらない、〜する気がある
worth	価値がある
fund	資金を提供する；資金、基金
overnight	一晩の、翌日配送の；一晩
particularly	特に
aspect	局、局面
hesitate	ためらう
involved	関わった
regularly	定期的に
scholarship	奨学金
shortly	じきに、まもなく
automobile	自動車の；自動車
familiar	よく知っている、おなじみの
ideal	理想的な
maintain	維持する、主張する
landscaping	造園
organize	(イベントなどを)計画する、取りまとめる、組織化する
significant	かなりの、大幅な、重要な
occasion	特別な行事、(何かが起こる)時、好機
standard	基準；標準の
background	経歴、背景
guided	ガイド付きの
advanced	進んだ、上級の、高度な
alternative	代わりの；代案
confident	確信している、自信がある
publish	出版する
initial	初めの、当初の
separate	分かれた、別々の；分ける
celebration	お祝い、祝典
concern	心配、懸念、関心事
environment	環境
operate	操作する、運営する
various	様々な
brief	短い
full-time	常勤の
overall	全体の；全体として
valuable	貴重な
basis	ベース、基準、根拠
complex	複合施設、集合住宅；複雑な
delighted	とても喜んでいる
obtain	得る、取得する
honor	称える、(契約などを)守る；名誉
properly	ちゃんと、適切に
suitable	ふさわしい、適切な
electronic	電子の、電子的な
finalize	取りまとめる、仕上げる、最終決定する
generous	寛大な、気前のよい
preparation	準備、用意
duty	任務、職務、関税
neighborhood	近所、地域
willing	〜することを嫌がらない、〜する気がある
worth	価値がある
fund	資金を提供する；資金、基金
overnight	一晩の、翌日配送の；一晩
particularly	特に
favorable	好意的な、有利な
hesitate	ためらう
involved	関わった
regularly	定期的に
scholarship	奨学金
shortly	じきに、まもなく
automobile	自動車の；自動車
divide	分ける
native	出身の；出身の人
afford	〜する余裕がある
income	収入
occur	起こる、発生する、行われる
saving	値引き、貯蓄、節約
findings	(研究・調査の)結果、わかったこと
locate	見つける
postpone	延期する
preserve	保護する、保存する；保護区
prove	わかる、判明する、証明する
exact	正確な
gain	得る；増加、利益
labor	労働、労働者
regard	みなす、評価する；点
closely	密に、注意深く
deserve	値する
identify	特定する
loyal	忠実な
promising	有望な
stress	強調する；ストレス、強調
analyze	分析する
commission	委託する、委任する；委員会、歩合
committed	熱心に取り組む、献身的な
comparison	比較
component	部品
enable	可能にする
enjoyable	楽しい
existing	従来の、既存の
flyer	チラシ、(飛行機の)乗客
proceed	進む
prevent	防ぐ、阻む
alike	同様に；よく似た
appoint	指名する、任命する
connection	接続、つながり、関連、乗り継ぎ
eager	〜したがる、熱望する
ease	容易さ、たやすさ；和らげる、容易にする
fairly	かなり
absolutely	完全に、間違いなく
atmosphere	雰囲気
calculate	計算する
contrast	対照、はっきりした違い；対照的である
monitor	監視する；(コンピュータの)モニター
occasionally	時々
practical	実務の、実際の、実用的な
serious	重大な、真剣な、重要な
strength	強さ、強度、(液体などの)濃さ
equally	同じように、均等に
import	輸入、輸入品；輸入する
informal	非公式の、カジュアルな
lately	最近、この頃
profession	専門的職業
supervisor	上司、責任者
ensure	保証する、請け合う
submission	提出物、提出
notify	知らせる
definitely	間違いなく、絶対に
eligible	資格がある
paperwork	書類、書類作業
complimentary	無料の
revise	修正する、見直す
track	追跡する；線路、走路
administrative	管理の
retail	小売り
inventory	在庫(表)、棚卸し
extensive	詳細な、幅広い、大規模な
promotional	販売促進用の
catering	仕出し、出前、ケータリング
wildlife	野生動物
assign	割り当てる、任命する
imply	ほのめかす、暗示する
banquet	夕食会
valid	有効な
affordable	手ごろな
renovate	改装する
guidelines	指針、ガイドライン
certificate	認定証、修了証
innovative	革新的な
agenda	議題、協議事項
assembly	組み立て、集会
install	設置する、導入する、(プログラムなどを)インストールする
orientation	新入社員向け説明会、オリエンテーション
renowned	名高い、著名な
appropriate	適切な、適した
ingredient	(料理の)材料
storage	保管、貯蔵
beverage	飲料
prior	前の
merger	合併、統合
inn	宿、ホテル
equip	備え付ける、装備する
summary	要約
lease	賃貸借(契約)；賃貸借する
defective	欠陥のある、不良の
quarterly	年に４回の、四半期ごとの；年に４回
extended	長期の、長時間の
architect	建築家
grocery	食品雑貨；食品雑貨の
sculpture	彫刻
itinerary	旅程表
directory	名簿
expire	期限が切れる
vendor	業者、露天商
colleague	同僚
patron	愛用者、利用者
relocate	移転させる、引っ越す
tourism	観光事業
remodel	改装する、リフォームする
consumer	消費者
inspect	検査する
numerous	数多くの
payroll	給与、給与管理、賃金台帳
qualified	資格のある、適任の
appliance	電化製品
competitive	他に負けない、競争の激しい
specialize	専門とする
questionnaire	アンケート用紙
approximately	おおよそ、約
contribute	貢献する、寄付する
productivity	生産性
promptly	すばやく、(時刻)きっかりん、即座に
strategy	戦略
dedicated	献身的な、専用の、特化した
exceptional	並外れた、非常に素晴らしい
luncheon	昼食会
exceed	超える
multiple	複数の
specify	明確に述べる、明記する
venue	会場
household	家庭；家庭用の
evaluate	評価する
negotiate	交渉する
booking	予約
circulation	発行部数、流通、(図書館の)貸出
completion	完了、終了
relevant	関連した
thorough	徹底的な
via	〜を経由して
workplace	職場
accommodations	宿泊施設
flexible	柔軟な、フレキシブルな
predict	予測する
preference	好み、希望
substantial	かなりの、頑丈な
accessible	到達できる、利用できる
coverage	報道、(保険の)補償
generate	生み出す
refreshment	軽い飲食物
reliable	信頼できる、頼りになる
revenue	収入
fund-raising	資金調達のための、慈善の
accomplished	熟達した、スキルの高い
acquire	得る、獲得する、買収する
accordingly	それに応じて、結果として
critic	評論家、批評家
highlight	強調する、スポットを当てる；見所
profile	人物紹介する；プロフィール
motivate	やる気にさせる
subscription	購読、加入、会費
encounter	(問題や困難に)直面する、遭う、出くわす
luxury	高級な；高級、贅沢
prohibit	禁止する
resolve	解決する
restore	復旧させる、取り戻す、修復する
surrounding	周辺の
alert	(重要なことを)知らせる；警戒した；警報
anticipated	待ち望まれた
consistently	常に、変わらず
dairy	乳製品、酪農業、酪農場
phase	段階
manuscript	原稿
overtime	残業；時間外に
premises	敷地
utility	公共料金、公共サービス
laundry	洗濯(物)
enthusiastic	熱心な、関心の高い、乗り気である
outline	概要；概要を説明する
packet	小包、袋
retain	保管する
belongings	所持品、所有物
conservation	節約、環境保護
routine	日常的に行われる、所定の
urban	都会の、都市の、都会での
workforce	全従業員
biography	人物紹介、伝記
ownership	所有(権)、所有者であること
pastry	焼き菓子
tenant	賃借人、入居者
workload	仕事量
sufficient	十分な
characteristic	特徴；特徴的な
combined	共同の、連合の
conclude	終わる、終える、結論を出す
associate	関連づける；同僚、アシスタント；アシスタントの
conflict	対立、衝突
investment	投資
physician	医師
token	印
partial	部分的な、一部の
resume	再開する
dealership	販売特約店
garment	衣料品
implement	実行する、実施する
paycheck	給与、給与小切手
recruit	採用する、募集する；新人
substitute	〜を代わりに用いる；代わりを務める人、代用品
typically	通常、典型的に
authorize	公認する、権限を与える
comparable	同等の、匹敵する、類似の
faculty	(大学の)教員、学部
initiative	新しい計画、主導権
postage	郵便料金
afterwards	その後で
aim	目指す、狙う；目標、狙い
generally	おおむね、通常、一般的に
occupied	(部屋、座席、ベッドなどが)使われている
solid	確かな、信頼できる
attempt	試み；試みる
authority	権限、権力、権威、当局
domestic	国内の
permission	許可
presence	存在感、出席
rapidly	急速に
relief	安心感、(苦痛・悩みなどの)緩和
reward	報いる、褒美を与える；報酬、褒美
translate	翻訳する
circumstance	状況
contrary	正反対の；正反対
eventually	最終的には、結局
expose	さらす、触れさせる、暴露する
panel	グループ、パネル
portion	部分、一人分の食事
primary	主な
remark	(スピーチでの)言葉、コメント、意見；コメントする
timely	タイミングの良い、タイムリーな
commonly	一般に、通常、普通に
consult	(医者、弁護士などの専門家に)相談する
convert	改造する、変える
obligation	義務
resign	辞職する、辞任する
securely	しっかりと、安全に
strive	懸命に努力する
timeline	予定表
urge	強く促す
acknowledge	(受け取ったことを)知らせる、認める
diverse	多種多様な、沢山の種類の
transaction	取引
lack	不足；〜が不足している
essential	最も重要な、必要不可欠な、本質的な
majority	大多数、大部分
observe	気づく、順守する、観察する
possess	(財産、所有物などとして)持つ、所有する
sharply	急激に、はっきりと
adjustment	調整、調節
aisle	通路
capture	(映像や写真に)記録する、とらえる
consist	〜から成る
desirable	望ましい
heavily	大量に、非常に頻繁に
investigate	調査する
measurement	寸法、測定
urgent	緊急の
checkout	レジ、(ホテルの)チェックアウト
dispose	処分する
modify	修正する
outlet	店舗、コンセント
prescription	処方箋
situated	位置している
surprisingly	驚いたことに
transform	(姿、形、性質などを)一変させる
undergo	(検査、修理などを)経験する、受ける
blueprint	設計図、青写真
boost	押し上げる、引き上げる；押し上げること
considerably	かなり
eliminate	取り除く、排除する
exclusively	限定で、独占的に
leak	漏れる、漏らす；漏れ
preliminary	仮の、暫定の、本番前の
sophisticated	洗練された、高性能の
statistics	統計、統計学
vacant	空の、空いた、欠員の
evidence	証拠、証明
excursion	お出かけ、小旅行
influence	影響を与える；影響
ordinary	普通の、通常の
reject	却下する、拒否する
tailor	(ニーズや目的に合うように)合わせる、調整する
assume	引き受ける、思い込む、仮定する
engagement	約束
fame	名声
modest	少しの、高価ではない、謙虚な
patent	特許
pursue	追求する、追い求める
remote	人里離れた、可能性が低い
reveal	明らかにする
allowance	手当、小遣い、許容量
crucial	非常に重要な
distinguished	際立って優れた、傑出した
disturb	邪魔する、悩ませる
fluent	流暢な、堪能な
fulfil	満たす、果たす
objective	目的、目標
restrict	制限する
steadily	着実に
adequate	(要求を満たすのに)十分な、適切な
assessment	評価、見積もり
attribute	起因すると考える、おかげであるとする
beforehand	あらかじめ、事前に
challenging	(困難だが)やりがいのある
endeavor	努力、試み；努力する
inspiring	やる気が出るような、活気づける
remarkable	驚くべき、注目すべき
measure	対策、手段；測定する、評価する
struggle	奮闘する
wage	賃金
adapt	適応する、適応させる、改作する
ambitious	意欲的な、野心的な
capable	能力がある
consequence	(〜が招いた)結果
impose	課す、負わせる、強制する
latter	後者
output	生産高、生産量
proudly	誇らしげに、堂々と
stable	安定した
transition	以降、転身
consent	同意
dependable	信頼できる
diligent	勤勉な、まじめな
illustrate	(例や図表を使って)説明する
independently	単独で、独立して
mission	使命、ミッション
moderate	ほどほどの、適度な
outlook	見通し、モノの見方
precisely	正確に
concentrated	集中的な、濃縮された
ample	十分な、あり余るほどの
asset	財産、役立つ人やモノ
controversial	議論を引き起こす、議論の的になる
disappointing	期待外れの、がっかりさせるような
instrumental	重要な役割を果たす
interruption	中断
perspective	観点、見方、考え方
scope	範囲、余地
speculation	推測、推量
supplement	補う；付録、付記、栄養補助食品
understaffed	人手不足の
rarely	滅多に〜しない、まれに
caution	注意、警告；注意する、警告する
legislation	法律、法制化
logical	妥当な、論理的な、筋の通った
lumber	材木、製材
reverse	反対の
voluntary	自主的な、任意の
contractor	請負業者、契約業者
on-site	社内の、現場の；その場で
comprehensive	総合的な、包括的な
confidential	機密の、秘密の
expertise	専門知識
premier	最高の、第一の
souvenir	土産物
rafting	(いかだやゴムボートでの)川下り
compartment	一区画
fabric	生地、織物
spacious	広々とした、ゆったりした
upgrade	改良、アップグレード；改良する、アップグレードする
showcase	披露する；お披露目の場、ショーケース
commuter	通勤者
enhance	向上させる、強化する
freight	貨物、輸送、輸送料；輸送する
nominate	(候補として)推薦する、ノミネートする
discontinued	(製造・販売が)終了した
mentoring	メンター制度
personalized	個人に合わせた、名前入りの
pharmacy	薬局
excerpt	抜粋、引用
publicize	宣伝する
tuition	授業料
compliance	(法律・規則などの)順守
clarify	はっきりさせる、明確にする
municipal	市の、市営の
respectively	それぞれ
durable	耐久性がある、丈夫な
landmark	名所、(場所の)目印、重要な出来事
portfolio	作品集、有価証券一覧
recipient	受取人、受賞者
prototype	試作品、原型
transit	輸送
verify	確認する、検証する、認証する
managerial	管理職の、経営上の
culinary	料理の
attire	服装
reimburse	払い戻す
courteous	礼儀正しい
furnished	家具付きの
knowledgeable	知識が豊富な
craftspeople	職人
delete	削除する
