look	l--- 見える、見る
take	かかる、乗る、持っていく、受ける
make	AをBにする、作る、行う
see	s-- 見える、見る、会う
watch	w---- 見る
give	AにBを与える
work	働く、作動する、作業する
call	AをBと呼ぶ、電話をする
enjoy	楽しむ
find	見つける、わかる
practice	練習する
tell	AにBを話す、言う
leave	置き忘れる、残す、出発する
need	必要とする
say	言う、書いてある
finish	終える、終わる
sell	売る
clean	きれいにする、掃除する
wait	待つ
become	になる
show	AにBを見せる、見せる
join	加わる、参加する
bring	持ってくる、連れてくる
move	動かす、動く、引っ越す
put	置く
drive	車で送る、運転する
rain	雨が降る
win	勝つ、勝ち取る
speak	話す
travel	旅行する
hope	望む、願う
ride	乗る
sound	聞こえる、音がする
wear	身につけている、着ている
train	列車、電車
hour	１時間、時間
weekend	週末
restaurant	料理店、レストラン
food	食べ物、料理
month	月
station	駅、署
festival	祭り
ticket	チケット、切符
minute	分、ちょっとの間
trip	旅行
movie	映画
parent	親、両親
lesson	レッスン、けいこ、授業
kind	種類
money	お金
job	仕事
place	場所
office	事務所、会社
science	理科、科学
meeting	会合、会議
concert	演奏会、音楽会、コンサート
plan	予定、計画
child	子ども
vacation	休み、休暇
history	歴史
contest	コンテスト
library	図書館
last	この前の、最後の
next	次の
famous	有名な
popular	人気のある
sure	確かな、確信して
favorite	お気に入りの、大好きな
other	他の
late	遅れた、遅い
special	特別な
different	異なる、さまざまな、別の
sorry	気の毒に思って、申し訳なく思って
free	無料の、ひまな
busy	忙しい、にぎやかな
first	最初に、第一に
often	よく、しばしば
also	～も（また）
tonight	今夜（は）
usually	たいてい、いつもは
well	よく、十分に、じょうずに
hard	熱心に、激しく
just	たった今、ちょうど、ただ
early	早く
still	まだ、今でも
together	一緒に
ago	～前に
by	～で、～によって、～までに、～のそばに
around	～のあちこちを（に）、～の周りを（に）
during	～の間
over	～を超えて、～より多く、～の上に
when	～するときに
because	～なので、～だから
before	～する前に
if	もし～ならば
than	～よりも
one	もの、1つ、人
all	すべての人、すべてのもの
could	～できた
should	～すべきだ、～したほうがよい
forget	忘れる
break	割る、壊す、折る
learn	学ぶ、習う
close	閉める、閉まる
hold	開く、持つ
decide	決める
grow	栽培する、育てる、育つ
try	試す、試みる、努力する
happen	起こる
lose	なくす、失う、負ける
arrive	到着する
send	送る
borrow	借りる
build	建てる、造る
draw	描く、引く
hear	聞いて知る（耳にする）、聞こえる
carry	運ぶ、持ち歩く
check	調べる
pay	払う
marry	結婚する
miss	乗り遅れる、し損なう、いなくてさびしく思う
remember	思い出す、覚えている
turn	曲がる、回す、回る
beach	海辺、浜辺、砂浜
fun	楽しみ
idea	考え、アイデア
present	プレゼント
company	会社
event	行事、イベント
bike	バイク
store	店
street	通る
thing	もの、こと
glasses	めがね
a.m.	午前
computer	コンピューター
country	国、いなか
p.m.	午後
problem	問題
pumpkin	カボチャ
zoo	動物園
floor	階、床
museum	博物館、美術館
way	方法、道、方向
band	バンド
clothes	衣服
speech	スピーチ、演説
weather	天気、天候
supermarket	スーパーマーケット
uncle	おじ
newspaper	新聞
photo	写真
star	星、スター
grandparent	祖父、祖母、祖父母
holiday	祝日、休日
hospital	病院
pie	パイ
plane	飛行機
poster	ポスター
prize	賞、賞品
report	報告（書）、レポート
sir	お客さま、先生
stop	停留所、止まること
dish	皿、料理
doctor	医者、医師、博士
e-mail	Eメール
gym	体育館
sandwich	サンドウィッチ
right	右の、正しい
most	大部分の、最も多くの
better	よりよい
little	少しの
delicious	とてもおいしい
ready	用意ができて
sick	病気の、気分の悪い
expensive	高価な
best	最もよい、もっともじょうずな
difficult	難しい
interesting	興味深い、おもしろい
another	もう1つ（1人）の、別の
beautiful	美しい、きれいな
enough	十分な
French	フランスの、フランス人（語）の
Italian	イタリアの、イタリア人（語）の
cheap	安い、安っぽい
Chinese	中国の、中国人（語）の
important	重要な
ever	今までに
outside	外（側）で
never	一度も～ない、決して～ない
again	また、ふたたび
later	後で
yet	まだ（～ない）、もう
each	１個（1人）につき
once	一度、かつて、以前
already	すでに、もう
until	～まで
something	何か、あるもの
anything	何か、何も（～ない）
must	～しなければならない
begin	始める、始まる
catch	つかまえる、間に合う
invite	招待する
feel	感じる
choose	選ぶ
hike	ハイキングをする
keep	保つ、持ち続ける、とっておく、飼う
worry	心配する、心配させる
camp	キャンプする
celebrate	祝う
guess	だと思う、推測する
pass	合格する、手渡す
relax	くつろぐ
spend	過ごす、使う
camera	カメラ
cousin	いとこ
grandmother	祖母
mountain	山
space	宇宙、空間
theater	劇場、映画館
wallet	財布
bookstore	書店
college	大学、単科大学
color	色
dictionary	辞書
dollar	ドル
garden	庭
husband	夫
key	かぎ
nurse	看護士
pool	プール
writer	作家、書く人
aunt	おば
classroom	教室
gift	贈り物
group	グループ、集団
line	列、線
member	一員
passage	一節
university	大学、総合大学
wedding	結婚式
wife	妻
word	単語
airport	空港
apartment	アパート
building	建物、ビル
coat	コート
farm	農場
part	部分、役目
phone	電話
son	息子
textbook	教科書
tournament	トーナメント、選手権試合（大会）
vegetable	野菜
area	区域、地域
bakery	パン屋
business	ビジネス
cafeteria	カフェテリア、食堂
daughter	娘
health	健康
information	情報
internet	インターネット
lake	湖
pizza	ピザ
police	警察
reason	理由
sale	セール、特売
snack	軽い食事、おやつ
stadium	競技場、スタジアム
main	おもな、主要な
angry	怒っている
own	自分自身の
professional	プロの、専門職の
sad	悲しい
both	両方
dear	親愛なる～様
excited	わくわくした
sunny	晴れた
cute	かわいい
fine	結構な、晴れた、元気な
glad	うれしい
healthy	健康（的）な
heavy	重い、激しい
same	同じ
Spanish	スペインの、スペイン人（語）の
tired	疲れた
wrong	間違った、調子が悪い
strong	強い、じょうぶな
exciting	わくわくさせる
nervous	緊張した
surprised	驚いた、びっくりした
soon	まもなく、すぐに
twice	2度
far	遠くに
sometimes	ときどき
almost	ほとんど、もう少しで
instead	代わりに
maybe	もしかすると、たぶん
since	～から、～以来
while	～している間に
change	変える、変わる
hurry	急ぐ
hurt	傷つける、けがをさせる、痛む
introduce	紹介する
sleep	眠る
snow	雪が降る
bake	焼く
believe	信じる
contact	連絡をとる
order	注文する
perform	上演する、演じる、演奏する
return	返す、戻す
save	救う、貯める、節約する
collect	集める
cost	かかる
design	デザイン[設計]する
enter	入る
throw	投げる
understand	理解する
badminton	バドミントン
bottle	びん
cafe	喫茶店
cookie	クッキー
end	終わり
grade	成績、学年、等級
grandfather	祖父
hall	ホール、会館、集会所、役所
letter	手紙、文字
parade	パレード
performance	上演、演技、演奏
salad	サラダ
website	ウェブサイト
actor	俳優
animal	動物
astronaut	宇宙飛行士
chocolate	チョコレート
comedy	喜劇、コメディー
fruit	果物
future	未来、将来
goal	得点、ゴール、目標
hobby	趣味
license	免許証、免許
locker	ロッカー
machine	機械
magazine	雑誌
model	模型、型、モデル
notice	掲示、通知[お知らせ]
paper	紙
question	質問
recipe	作り方、調理法
rule	規則、ルール
season	季節、時期
sofa	ソファ
tour	旅行、ツアー
video	ビデオ、映像
winner	優勝者、勝利者
accident	事故
answer	答え、返事
bank	銀行
copy	コピー、複写
dentist	歯医者、歯科医
famer	農場経営者
horse	馬
junior high school	中学校
kitchen	台所
race	レース、競走
sign	看板、掲示
snowboard	スノーボード
subject	件名、教科
tiger	トラ
toy	おもちゃ
visitor	訪問者、観光客
crowded	混雑した
easy	簡単な
fast	速い
half	半分の
hungry	空腹の
afraid	怖がって、恐れて
cloudy	曇った
dirty	汚れた、汚い
funny	おかしい、こっけいな
poor	貧しい、へたな
such	そのような、このような
warm	暖かい
international	国際的な
wet	ぬれた
alone	1人で
else	その他に
however	しかしながら
part-time	パートタイムで、非常勤で
abroad	海外で[に]
finally	ついに、最後に
someday	いつか、そのうちに
either	～もまた（～ない）
even	～でさえ、さらに
beside	～のそばに、～と並んで
through	～通り抜けて、～通して
herself	彼女自身、（を[に]）
anyone	誰か、誰も（～ない）
myself	私自身、（を[に]）
climb	登る
cover	おおう
die	死ぬ
follow	従う、ついて行く
hit	ぶつける、ぶつかる、打つ
injure	けがをする、傷つける
lend	貸す
plant	植える
receive	受け取る
start	始める、始まる
steal	盗む
taste	の味がする
cry	なく、叫ぶ
fall	落ちる
fix	修理する
invent	発明する
kill	殺す
paint	描く、ペンキを塗る
serve	出す
adult	大人
bathroom	浴室、トイレ
bicycle	自転車
captain	主将、船長
church	教会
coach	コーチ、監督、指導者
comic	漫画本
doughnut	ドーナツ
dress	ドレス
experience	経験
gate	門
horror	ホラー、恐怖
language	言語
nature	自然
noon	正午
owner	所有者
person	人
pond	池
price	値段、価格
schedule	予定
staff	職員、スタッフ
stage	舞台、ステージ
uniform	制服、ユニフォーム
volunteer	ボランティア
award	賞、賞品
basket	かご
boss	上司
classmate	同級生、クラスメート
court	コート
dessert	デザート
dream	夢
environment	環境
exam	試験、テスト
fashion	ファッション、流行
field	野原、競技場、グラウンド
forest	森、森林
hole	穴
kilogram	キログラム
life	生涯、生活、命
meat	肉
meter	メートル
mind	心、精神
package	包み、小荷物
painting	絵、絵を描くこと
platform	プラットフォーム
project	研究課題、計画、事業
road	道路、道
rock	ロック、岩
scientist	科学者
score	点数
shape	形
side	側、側面
sightseeing	観光
steak	ステーキ
stomachache	腹痛、胃痛
dark	暗い
foreign	外国の
full	満員の、いっぱいの、満腹で
local	その土地の、地元の
silent	静かな、無言の
snowy	雪の降る、雪の多い
true	本当の、真実の
wonderful	すばらしい
bright	光り輝く、明るい
careful	気をつける、注意深い
fresh	新鮮な
