believe	〜を信じる
consider	よく考える、みなす
expect	予期する、期待する
decide	決める
allow	を許す
remember	～を覚えている
worry	心配する
concern	に関係する；を心配させる
suggest	を提案する
explain	～を説明する
describe	の特徴を述べる；を（...と）言う（as）
improve	を改善する
produce	を生産する
create	を創造する
provide	を供給する
increase	増える；～を増やす
grow	成長する
develop	を開発する、を発達させる、発達する
rise	上がる
raise	～を上げる
follow	の次に続く
require	を要求する；を必要とする
fill	～を満たす
support	～を支持する
share	を共同で使う；を分配する
face	直面する
touch	を感動させる: に触れる
store	を蓄える
pay	(を)支払う
deal	(wirhを伴って)〜に対処する
save	を節約する
happen	起こる、たまたま～する
occur	起こる
work	機能する;働く
change	を変える、変わる
run	を経営する;走る
turn	の向きを変える
return	戻る;帰る
stand	我慢する
lie	横たわる;嘘をつく
brain	脳
mind	心
language	言語
thought	考え
knowledge	知識
skill	技能、技術
technology	科学技術
culture	文化
experience	経験;経験する
result	結果
reason	理由
cause	原因
effect	影響、効果
matter	問題
sense	感覚
way	道, 方法
term	期間、学期、専門用語
situation	状況
condition	状態、状況
position	位置;場所;立場
environment	環境
nature	自然
research	研究、調査
view	意見
rule	規則、支配
interest	興味
value	価値
sound	音
form	形状;用紙
case	場合、事例、事件
role	役割
age	年齢、時代
care	世話
risk	危険
human	人間の
free	自由な
sure	確信して
certain	確信して；ある程度の
main	主要な
major	主要な; 大きい
minor	重要でない
clear	明らかな
likely	ありそうな
possible	可能な；あり得る
similar	似ている
close (形容詞)	近い
common	共通の
general	一般的な
ordinary	普通の
specific	明確な、特定の
particular	特別の；好みがうるさい
individual	個々の
unique	特有の、唯一の
rare	珍しい、まれな
therefore	したがって，それゆえに
thus	したがって
moreover	さらに、そのうえ
furthermore	そのうえ
besides	そのうえ
nonetheless	それにもかかわらず
notice	に気づく
note	に注意する
discover	を発見する
realize	を理解する
recognize	をそれとわかる
encourage	を励ます
force	に無理やり～させる
order	を注文する
affect	に影響する
offer	を提供する
demand	を要求する
argue	と主張する
claim	を主張する
object	反対する
challenge	に異議を唱える、に挑戦する
involve	を巻き込む
include	を含む
contain	を含む
relate	関連づける
connect	をつなぐ
refer	言及する
contact	と連絡を取る
compare	を比べる
measure	を測る
mark	をつける
approach	近づく
reach	に到着する
achieve	を達成する
receive	を受け取る
complete	を完成させる
lead	を導く
win	勝つ
lose	を失う、で負ける
fail	失敗する
miss	に乗り遅れる
lack	に欠けている、が不足している
reduce	を減らす
avoid	を避ける
limit	を制限する
prevent	を妨げる
wear	を身に着けている、をすり減らす
bear	を我慢する、を抱く、を産む
focus	集中させる
author	著者
professor	教授
sentence	文、刑、判決
passage	一節
message	伝言
statement	陳述
topic	論題
article	記事、条項
issue	問題、発行、号
theory	理論
evidence	証拠
experiment	実験
subject	主題、科目、被験者
government	政府、政治
policy	政策、方針
education	教育
company	会社、仲間
colleague	同僚
industry	産業
trade	貿易
economy	経済
customer	顧客
benefit	利益
figure	図、数字、姿
rate	比率
chance	見込み
opportunity	機会
project	事業、計画
practice	練習、習慣
effort	努力
quality	質
quantity	量
amount	金額、量
scientific	科学の
political	政治の
social	社会の
official	公式の
financial	財政の
expensive	高価な
various	さまざまな
normal	普通の
familiar	よく知っている
appropriate	適切な
necessary	必要な
correct	正しい
available	利用できる、入手できる
typical	典型的な
positive	積極的な
negative	消極的な
passive	受動的な、消極的な
physical	身体の
mental	精神の
rather	むしろ
instead	その代わりに
otherwise	そうでなければ
somehow	どうにかして、どういうわけか
somewhat	いくぶん
wonder	と思う
suppose	と思う・もし～ならば
imagine	を想像する
regard	を見なす
wish	と思う・願う
determine	を決定する
express	を表現する
represent	を象徴する
identify	を特定する
mention	に言及する
solve	を解決する
prove	を証明する
communication	意思を通じ合う
respect	を尊敬する
prefer	のほうを好む
design	を設計する
establish	を設立する(e)
found	を設立する（f)
publish	を出版する
serve	...の役に立つ，...に仕える
supply	を供給する
apply	申し込む・を適用する
treat	を扱う・治療する
search	を探す・探索する
prepare	を準備する
protect	を保護する
pick	を選び取る；を摘む
fit	にぴったり合う
gain	を手に入れる
enter	に入る
spread	広がる
advance	前進する
tend	傾向がある
depend	依存する
exist	存在する
decline	減る・衰える
decrease	減る
waste	浪費する
damage	に損害を与える
suffer	苦しむ
act	行動する
perform	を行う
species	種（しゅ）
variety	多様性
degree	程度；度；学位；等級
range	範囲
standard	水準、基準、標準
medium	（伝達などの）媒体；手段；中間
advantage	有利な点
task	仕事、任務、課題
rest	残り
purpose	目的
feature	特徴
factor	要因、要素
shape	形,体調
image	イメージ、印象
detail	詳細
character	性格、特質
function	機能
structure	構造、建造物
ground	地上、根拠
influence	影響（力）
disease	病気
pain	苦痛；苦悩；（～s）骨折り
medicine	薬、医学
death	死
